"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,
"Age group 8","All ages",,,,,,,
"Geography","2017","2018","2019","2020","2021","2022","2023","2024"
,"Persons",,,,,,,
"Pembroke (CA), Ontario","24,110","24,214","24,286","24,377","24,701","24,816","24,847","24,963"
"Petawawa (CA), Ontario","17,742","17,935","18,308","18,703","19,131","19,304","19,663","20,039"
"Cobourg (CA), Ontario","20,178","20,447","20,628","20,832","21,159","20,978","21,027","21,115"
"Port Hope (CA), Ontario","17,424","17,609","17,639","17,657","17,915","18,354","18,503","18,722"
"Kawartha Lakes (CA), Ontario","78,384","79,363","80,180","81,057","82,147","83,694","84,264","84,959"
"Centre Wellington (CA), Ontario","29,463","30,311","30,728","31,446","32,336","33,147","33,665","34,312"
"Ingersoll (CA), Ontario","13,287","13,631","13,819","13,974","14,335","14,457","14,754","14,964"
"Woodstock (CA), Ontario","43,280","44,597","45,767","47,176","48,777","50,054","51,142","52,476"
"Tillsonburg (CA), Ontario","16,786","17,120","17,741","18,109","18,700","19,049","19,517","20,039"
"Norfolk (CA), Ontario","66,423","68,032","68,944","69,276","70,300","72,231","73,284","74,208"
"Stratford (CA), Ontario","32,753","33,294","33,703","34,028","34,522","34,865","35,256","35,545"
"Chatham-Kent (CA), Ontario","105,168","105,750","106,200","107,195","108,243","109,440","110,513","111,705"
"Sarnia (CA), Ontario","99,041","100,250","100,975","101,233","101,251","104,135","106,371","108,636"
"Essa (CA), Ontario","22,123","22,508","22,915","23,343","24,039","24,615","24,865","25,103"
"Wasaga Beach (CA), Ontario","22,168","22,928","23,583","24,400","25,780","26,613","27,195","27,906"
"Owen Sound (CA), Ontario","32,715","33,032","33,314","33,585","33,887","34,359","34,728","35,016"
"Collingwood (CA), Ontario","22,710","23,389","24,187","24,949","25,714","26,273","26,799","27,167"
"Orillia (CA), Ontario","32,501","32,888","33,463","34,029","34,732","35,467","36,150","36,837"
"Midland (CA), Ontario","27,263","27,774","28,157","28,439","28,955","29,475","29,722","29,918"
"North Bay (CA), Ontario","73,118","73,496","73,645","73,974","74,521","76,774","79,745","84,076"
"Elliot Lake (CA), Ontario","11,083","11,283","11,398","11,518","11,711","11,917","11,910","11,917"
"Timmins (CA), Ontario","42,636","42,583","43,001","42,984","42,763","43,108","44,790","45,594"
"Sault Ste. Marie (CA), Ontario","80,145","80,001","80,527","80,757","80,202","81,955","84,741","88,012"
"Kenora (CA), Ontario","15,660","15,612","15,587","15,498","15,599","15,568","15,428","15,289"
"Winkler (CA), Manitoba","31,538","32,148","32,709","33,340","33,640","34,389","35,820","37,070"
"Steinbach (CA), Manitoba","16,885","17,225","17,414","17,852","18,282","18,574","19,199","19,926"
"Portage la Prairie (CA), Manitoba","13,570","13,595","13,618","13,623","13,813","13,796","13,847","14,197"
"Brandon (CA), Manitoba","54,154","54,689","55,465","55,816","55,877","56,975","59,097","61,863"
"Thompson (CA), Manitoba","14,167","14,023","13,691","13,408","13,459","13,405","13,264","13,159"
